File ID,FileName,Area 1,Area 2,Area 3,Area 4,Area 5,Area 6,Area 7,Area 8,Area 9,Area 10,Area 11,Area 12,Area 13,Area 14,Area 15,Area 16,Area 17,Area 18,Area 19,Area 20,Area 21,Area 22,Area 23,Area 24,Area 25,Area 26,Area 27,Area 28,Area 29,Area 30,Area 31,Area 32,Area 33,Area 34,Area 35,Area 36,Area 37,Area 38,Area 39,Area 40,Area 41,Area 42,Area 43,Area 44,Area 45,Area 46,Area 47,Area 48,Area 49,Area 50
1,bestdaily0001.JPG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,533.506338764,498.895803068,470.299148882,452.823604516,414.243922202,391.166714241,390.861025388,408.374543068,437.428683152,473.897241912,514.161305266,540.608692231,563.90665801,578.586150206,566.215303975,555.988814287,572.951038181,550.663291123,570.411262512,626.093157265,668.977730958,738.895101524,836.894391036,934.902884279,1032.91137752,1130.91987077,1228.92836403,1326.93685726,1424.9453505,1522.95384375,1620.96233699,1718.97083023,1816.97932348,1914.98781672,2012.99630997,2111.00480321,2209.01329646
2,bestdaily0002.JPG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,532.697142845,499.067981349,470.44836012,452.637095282,414.866738112,392.420459815,387.286604716,406.267338067,432.079226319,476.070481487,513.057490651,537.604471232,561.899214211,583.823639346,565.54270153,555.440290118,570.427649488,553.810769621,571.822771209,631.300470229,676.490747771,730.047642472,792.032781849,854.017921235,916.003060603,977.98819998,1039.97333936,1101.95847875,1163.94361811,1225.92875749,1287.91389686,1349.89903626,1411.88417562,1473.869315,1535.85445437,1597.83959377,1659.82473313
3,bestdaily0003.JPG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,535.474952104,501.421888654,473.923491078,454.198642645,415.923608263,389.935749381,389.764478924,410.761332224,435.416905077,476.571311554,513.262357039,535.750539125,565.223551437,582.330811006,564.364724526,559.299717098,574.469815884,554.799858644,570.062802322,632.332138413,679.684961797,764.033965985,862.140750877,960.247535762,1058.35432063,1156.46110553,1254.56789041,1352.6746753,1450.78146017,1548.88824507,1646.99502995,1745.10181481,1843.20859972,1941.3153846,2039.42216946,2137.52895437,2235.63573925
4,bestdaily0005.JPG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,531.675518469,500.496821818,473.451409658,448.883586686,411.158580149,385.795613206,379.803640157,409.035543429,433.234503202,469.734267131,513.014678003,536.965866413,561.538515446,580.014150944,560.072865437,557.133153278,569.859895573,553.714650273,573.903052453,635.579436328,671.777654871,717.504988721,768.579437876,819.653887022,870.728336186,921.802785341,972.877234486,1023.95168365,1075.0261328,1126.10058196,1177.17503112,1228.24948026,1279.32392943,1330.39837858,1381.47282772,1432.54727689,1483.62172605
