Image, UV length, XYZ length 
TU1_150819_180000.JPG,5801.34472596,2489.71506701
TU1_150820_180000.JPG,5753.85998718,2489.31071011
TU1_150821_105000.JPG,5799.26071689,2499.5773552
TU1_150823_180000.JPG,5859.53277178,2489.90548787
