File ID,FileName,Area 1,Area 2,Area 3,Area 4,Area 5,Area 6,Area 7,Area 8,Area 9,Area 10,Area 11,Area 12,Area 13,Area 14,Area 15,Area 16,Area 17,Area 18,Area 19,Area 20,Area 21,Area 22,Area 23,Area 24,Area 25,Area 26,Area 27,Area 28,Area 29,Area 30,Area 31,Area 32,Area 33,Area 34,Area 35,Area 36,Area 37,Area 38,Area 39,Area 40,Area 41,Area 42,Area 43,Area 44,Area 45,Area 46,Area 47,Area 48,Area 49,Area 50
1,bestdaily0001.JPG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41287.3244697,38608.8625405,36395.8066602,35043.3982293,32057.7694824,30271.8559821,30248.1991406,31603.5462743,33852.0063613,36674.2581492,39790.2388366,41836.9658717,43639.9635172,44775.9893023,43818.6264647,43027.2124416,44339.8957047,42615.0775017,44143.3459461,48452.4914776,51771.2698691,57182.0793663,64766.1100889,72350.8530756,79935.5960625,87520.3390492,95105.0820371,102689.825023,110274.56801,117859.310997,125444.053983,133028.79697,140613.539957,148198.282944,155783.02593,163367.768917,170952.511904
2,bestdaily0002.JPG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41224.7019063,38622.1871817,36407.3539135,35028.9645353,32105.9683522,30368.881634,29971.579623,31440.4725669,33438.0192276,36842.4421818,39704.8161361,41604.4733254,43484.6101924,45181.3114096,43766.5746832,42984.7629078,44144.6141117,42858.6565496,44252.5806699,48855.4782921,52352.6919448,56497.3866343,61294.3316298,66091.2766259,70888.2216206,75685.166616,80482.1116114,85279.0566077,90076.0016022,94872.9465976,99669.891593,104466.83659,109263.781584,114060.726579,118857.671575,123654.616571,128451.561565
3,bestdaily0003.JPG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41439.6727583,38804.3528424,36676.2895362,35149.8105458,32187.758085,30176.5932984,30163.3389124,31788.2566164,33696.3176129,36881.2007344,39720.6704651,41461.0000602,43741.8760949,45065.7834701,43675.4126572,43283.4386731,44457.4318299,42935.2007937,44116.3790894,48935.3176791,52599.8877911,59127.541638,66719.8912808,74312.2409229,81904.5905642,89496.9402072,97089.2898492,104681.639491,112273.989132,119866.338776,127458.688418,135051.038058,142643.387702,150235.737344,157828.086984,165420.436628,173012.78627
4,bestdaily0005.JPG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41145.6397958,38732.7631876,36639.755802,34738.4856486,31818.9990889,29856.1938332,29392.4832501,31654.7001864,33527.4245224,36352.0912356,39701.502924,41555.0525737,43456.6962093,44886.5003225,43343.2715635,43115.771268,44100.6764141,42851.218005,44413.5707846,49186.6216148,51987.9521438,55526.7278483,59479.3094788,63431.8911087,67384.4727399,71337.0543705,75289.6360002,79242.2176315,83194.7992612,87147.3808926,91099.9625232,95052.5441526,99005.1257842,102957.707415,106910.289044,110862.870676,114815.452306
