Image,UV area,XYZ area 
QAS_20200904.CR2,1737303.0,299437.39297890215
QAS_20200915.CR2,1394905.0,261961.35703994977
QAS_20210716.CR2,14806.0,2768.27552348647
QAS_20210729.CR2,250041.5,50511.61216673877
QAS_20210813.CR2,1115373.0,180440.99781494203
