x	y	z	x	y
450929.62	8754479.217	155.414	596.633	1785.886
450559.271	8748713.511	319.721	1725.436	1435.568
449086.454	8748696.023	1063.291	2464.996	1020.376
448502.41	8750938.994	257.492	2685.567	1351.232
447618.83	8753154.756	296.076	3224.019	1312.308
447326.698	8753423.986	269.365	3535.413	1253.922
447618.83	8751190.36	639.328	3178.607	1052.813
447031.445	8751104.951	760.2	3509.463	968.477
446667.511	8751617.402	866.868	3833.832	734.932
