x	y	z
553676.034359	8709560.00393	0.0
553226.44352	8710113.79089	0.0
553962.34086	8709337.64821	0.0
553362.874777	8710034.62451	0.0
554387.60689	8709006.9303	0.0
553224.886131	8710044.07603	0.0
552990.253628	8710214.62163	0.0
554205.995905	8709083.70814	0.0
554307.183638	8709037.93221	0.0
554263.00958	8709057.14815	0.0
554453.048295	8708977.5283	0.0
554357.413037	8708910.8084	0.0
554431.187848	8708612.97506	0.0
553796.048564	8709461.17792	0.0
553262.302617	8710083.73905	0.0
553266.663726	8710081.93578	0.0
553219.264037	8710093.42741	0.0
552901.673878	8710254.00375	0.0
552899.135545	8710254.18195	0.0
552912.198016	8710247.98089	0.0
553363.990618	8710033.75321	0.0
553438.693129	8710023.53363	0.0
553595.160361	8709765.83194	0.0
553020.042718	8710205.60231	0.0
553725.089515	8709477.41703	0.0
553453.799342	8709970.95115	0.0
554395.634104	8708728.98259	0.0
553794.224337	8709421.04926	0.0
553941.040153	8709287.99942	0.0
554212.202257	8709083.87687	0.0
554405.218336	8709003.97013	0.0
552907.464481	8710255.98297	0.0
553663.502413	8709608.28667	0.0
554545.94215	8708559.66792	4.19361031732
552772.569928	8710305.34044	0.0
552973.949869	8710262.61385	0.0
553474.879516	8709977.43257	0.0
553284.754564	8710075.59884	0.0
553686.342025	8709481.07392	0.0
554032.437366	8709197.24093	0.0
553708.990257	8709485.12871	0.0
553722.396647	8709474.79911	0.0
553755.032268	8709480.28118	0.0
553767.603258	8709453.14748	0.0
553895.077291	8709402.85739	0.0
553276.46365	8710084.21802	0.0
553690.714429	8709555.67232	0.0
554400.979542	8708879.1758	0.0
554549.218572	8708567.12983	0.0
554563.645368	8708583.68187	22.0544841816
554434.965206	8708652.06914	0.0
552821.925671	8710268.17043	0.0
553008.563347	8710208.59621	0.0
553871.88655	8709333.10882	0.0
554555.536238	8708571.07248	21.2945651697
554396.70389	8708644.33142	0.0
554551.101328	8708561.79342	23.1630608792
553198.293584	8710096.27347	0.0
554548.742796	8708557.48559	19.3305562844
554554.91047	8708569.16885	23.6887553798
554519.717223	8708586.88576	0.0
554523.182812	8708587.9807	0.0
552989.765364	8710214.45535	0.0
554467.074786	8708941.71209	0.0
554640.665075	8708867.6719	0.0
553284.43516	8710067.41545	0.0
553256.997929	8710085.27115	0.0
552823.384125	8710269.93136	0.0
553266.472957	8710082.09846	0.0
