date_utm2,calving_area,calving_style,location_x,location_y
42224.38914,plume2,NaN,4001.331,1432.078
42224.38921,plume2,NaN,4013.706,1409.096
42224.39025,plume2,NaN,4001.331,1429.426
42224.39053,headland,NaN,3685.775,1603.556
42224.39102,plume2,NaN,4012.822,1409.98
42224.39215,plume2,NaN,4013.706,1410.864
42224.39333,plume2,NaN,4003.983,1428.542
42224.39833,plume2,NaN,4011.938,1409.096
42224.39845,plume2,waterline,3999.563,1446.22
42224.40602,near,waterline,359.236,3007.457
42224.40701,plume2,NaN,4002.794,1430.466
42224.40708,plume2,NaN,4000.047,1431.382
42224.40819,plume1,waterline,875.227,2485.666
42224.40875,far,icefall,4037.521,1222.837
42224.41095,plume2,waterline,3998.466,1436.447
42224.41248,plume2,waterline,4023.417,1195.636
42224.41699,plume2,icefall,3999.263,1442.026
42224.41861,plume2,waterline,4013.61,1407.753
42224.42039,headland,icefall,3243.34,1701.145
42224.4206,plume2,waterline,4001.404,1442.181
42224.42095,plume2,icefall,4012.934,1410.664
42224.42255,plume2,icefall,4004.767,1404.226
42224.42275,headland,waterline,3675.128,1622.623
42224.42326,plume2,waterline,4001.978,1440.696
42224.42748,plume2,waterline,3915.946,1475.028
42224.42903,plume1,waterline,722.023,2598.999
42224.42944,plume1,waterline,890.725,2470.657
42224.43025,headland,subaqueous,2700.207,1896.231
42224.43285,near,icefall,373.551,2839.01
42224.43861,plume2,waterline,4036.053,1366.521
42224.43951,plume2,icefall,4007.249,1418.74
42224.44491,plume2,icefall,4069.019,1208.283
42224.44625,plume2,waterline,4013.96,1417.977
42224.44699,plume2,waterline,3983.404,1452.716
42224.44727,plume2,icefall,3686.588,1605.815
42224.45303,plume2,icefall,4036.698,1355.001
42224.45333,plume1,waterline,1094.253,2349.719
42224.45748,near,icefall,569.21,2578.297
42224.46208,headland,waterline,2947.479,1831.261
42224.46236,headland,waterline,3941.134,1465.19
42224.46243,near,icefall,648.077,2643.851
42224.46255,near,icefall,651.648,2641.709
42224.46262,headland,icefall,3945.749,1396.179
42224.46303,plume2,waterline,4016.117,1409.492
42224.46375,headland,icefall,3592.743,1504.705
42224.4684,headland,icefall,3671.777,1617.795
42224.47007,headland,icefall,3926.063,1465.79
42224.47035,far,icefall,4165.849,1319.578
42224.47171,headland,waterline,3695.634,1559.365
42224.4759,headland,waterline,3005.165,1819.999
42224.47632,plume1,waterline,1318.456,2148.305
42224.47644,plume1,icefall,1091.388,2390.344
42224.4766,plume2,icefall,4012.62,1414.323
42224.48005,headland,waterline,2082.493,1742.02
42224.49144,near,icefall,590.989,2689.165
42224.49931,near,subaqueous,671.62,2652.149
42224.50139,plume1,subaqueous,1131.743,2282.289
42224.50556,plume1,sheet,1075.97,2087.819
42224.50653,plume1,waterline,1034.274,2159.705
42224.50727,plume1,stack,1092.687,2337.384
42224.50769,plume1,stack,1124.721,2187.832
42224.50782,plume1,icefall,1093.383,2365.028
42224.50935,plume2,waterline,4011.45,1414.323
42224.51005,plume1,icefall,1143.292,2240.449
42224.51074,plume1,stack,1113.115,2069.057
42224.51042,headland,sheet,2011.63,1896.672
42224.51111,headland,sheet,2106.895,1896.672
42224.51181,headland,waterline,3665.349,1609.239
42224.5125,headland,icefall,3668.33,1586.384
42224.5125,plume2,waterline,4124.928,1325.161
42224.51458,plume1,icefall,1095.522,2374.199
42224.52222,near,icefall,358.018,2999.613
42224.52292,near,icefall,361.803,2907.738
42224.52292,far,icefall,4694.888,1276.721
42224.52361,plume1,icefall,1105.357,2250.329
42224.52639,headland,waterline,3928.171,1436.496
42224.52639,near,subaqueous,406.95,3055.217
42224.52986,headland,icefall,3926.972,1436.757
42224.53264,near,icefall,359.605,2997.492
42224.53611,headland,icefall,3974.628,1402.972
42224.5375,plume2,waterline,4013.903,1401.764
42224.54097,plume2,icefall,4015.716,1398.139
42224.54306,plume1,waterline,1335.939,2096.794
42224.54653,near,icefall,355.251,3008.792
42224.54722,near,icefall,632.949,2635.723
42224.54931,headland,stack,3255.699,1706.285
42224.55625,plume2,icefall,4001.266,1432.424
42224.55694,plume1,icefall,1373.962,2108.055
42224.55694,near,icefall,333.235,3069.87
42224.55833,headland,icefall,3686.472,1602.388
42224.56042,far,icefall,4882.675,1203.519
42224.56597,headland,waterline,3683.606,1618.862
42224.56736,plume1,icefall,1093.291,2363.883
42224.57708,plume2,icefall,4017.395,1312.079
42224.57708,plume2,stack,4024.086,1305.945
42224.57778,plume2,icefall,4026.316,1290.89
42224.57917,plume1,waterline,1089.819,2376.531
42224.58889,near,icefall,659.19,2617.099
42224.59097,far,icefall,4574.426,1294.553
42224.59097,headland,waterline,3639.351,1617.202
42224.59167,headland,waterline,3687.216,1597.008
42224.59514,far,icefall,5007.016,1223.776
42224.59514,far,icefall,4765.718,1258.306
42224.59653,headland,icefall,3686.468,1588.034
42224.60486,headland,waterline,3665.527,1617.202
42224.60972,headland,icefall,3688.934,1598.673
42224.61177,headland,waterline,2063.814,1934.361
42224.61181,headland,waterline,3687.964,1608.975
42224.61319,far,icefall,4885.73,1228.648
42224.61389,far,icefall,4553.848,1178.121
42224.61389,headland,icefall,3668.519,1492.303
