,x,y,z
240,500193.92377926206,8724291.386673167,320.8177792043746
241,500193.9749533716,8724291.432833498,320.76401813179154
242,500194.04726517503,8724291.502995025,320.71506083287005
243,500194.1034879909,8724291.554920262,320.66264296446434
244,500194.1755880447,8724291.62489864,320.61391060280573
245,500194.2563233303,8724291.704703737,320.56728589135577
246,500194.3253631664,8724291.771237712,320.5181492576129
247,500194.36793911934,8724291.807763712,320.4630586153166
248,500194.4135069431,8724291.847674679,320.40870538462434
249,500194.48074211006,8724291.912255794,320.35948787350594
250,500194.54868564534,8724291.977634478,320.3105532493486
251,500194.6373274438,8724292.066563284,320.2666521217339
252,500194.69110689196,8724292.115919393,320.214685939339
253,500194.784297901,8724292.21010413,320.1721930169039
254,500194.86030128424,8724292.284761999,320.12577404201835
255,500194.9416338495,8724292.365491994,320.0807911785647
256,500194.98723249347,8724292.405641537,320.0273377589177
257,500195.0243226461,8724292.436068757,319.971853541513
258,500195.0738046703,8724292.480649542,319.9194923782619
259,500195.1433482844,8724292.548048824,319.872126363133
260,500195.2120071733,8724292.614509474,319.82470272616723
261,500195.2562313891,8724292.653146332,319.77131999867345
262,500195.29243879765,8724292.682663104,319.7160249904308
263,500195.33260589605,8724292.716664175,319.6617425804584
264,500195.4024425914,8724292.784552867,319.61505908933134
265,500195.46416186175,8724292.843177259,319.56643825780145
266,500195.5340641589,8724292.911153363,319.5199970506869
267,500195.5671798567,8724292.937236935,319.4642995824066
268,500195.59955568763,8724292.96245592,319.4084422894411
269,500195.6315443345,8724292.987216402,319.35250841555774
270,500195.690592121,8724293.042898048,319.3037096727501
271,500195.7465860891,8724293.095109811,319.2541702780198
272,500195.79079828237,8724293.133883746,319.2016886311815
273,500195.83511601924,8724293.172778536,319.14923700956496
274,500195.87680717895,8724293.208727429,319.0962417462902
275,500195.9144447901,8724293.240018822,319.04218678085545
276,500195.9647398753,8724293.285818156,318.9915799396729
277,500196.0155795,8724293.33222261,318.9412225616954
278,500196.0542373844,8724293.364743104,318.88764419045685
279,500196.08731443796,8724293.39088692,318.8326392294583
280,500196.1465213506,8724293.44688438,318.7847805467909
281,500196.2052062588,8724293.502368245,318.7369250563703
282,500196.243108667,8724293.534041032,318.6834267494307
283,500196.2971636942,8724293.584255775,318.63448336810757
284,500196.3579469955,8724293.642147118,318.5875067690664
285,500196.4100982392,8724293.690210793,318.53822196603534
286,500196.4774499006,8724293.755679226,318.4933124798299
287,500196.5585170276,8724293.836877657,318.45241139891175
288,500196.62741204543,8724293.904170986,318.4082064355522
289,500196.7206613895,8724293.999404209,318.37110431704184
290,500196.876089593,8724294.16592573,318.3520098719547
291,500196.94638552296,8724294.234919073,318.3087887266066
292,500196.98073578184,8724294.262761716,318.2553339343021
293,500197.01797761023,8724294.293883054,318.2027620192339
294,500197.0783713355,8724294.351584358,318.157012104283
295,500197.1447378933,8724294.416155228,318.1130986400937
296,500197.19921268465,8724294.467123259,318.0658568873086
297,500197.24861845333,8724294.512275115,318.0171894692623
298,500197.2855618553,8724294.543150876,317.9649513010916
299,500197.3236866368,8724294.575383969,317.9130613275913
300,500197.3695219427,8724294.61649717,317.8635803336168
301,500197.4479272587,8724294.695028462,317.82394878925726
302,500197.49171723146,8724294.733816547,317.77407703940213
303,500197.53731702105,8724294.774684768,317.72475931788574
304,500197.8084788543,8724295.074863767,317.7442905913927
305,500197.84990455606,8724295.111057859,317.6942075626689
306,500198.02603078226,8724295.302088512,317.6855314552693
307,500198.0640782571,8724295.334425014,317.6347465382652
308,500198.100561132,8724295.36497709,317.5835016295629
309,500198.13564793137,8724295.393926937,317.531824976229
310,500198.16894470865,8724295.420863979,317.4797110842396
311,500198.2769752743,8724295.53369568,317.45114824745565
312,500198.51651899854,8724295.798120579,317.464149668002
313,500198.45583593287,8724295.717021488,317.38273923955023
314,500198.51117470686,8724295.769266408,317.33818614081497
315,500198.6456486233,8724295.91268025,317.3188368279505
316,500198.7512518552,8724296.023199826,317.29049937112507
317,500198.78974609886,8724296.056297243,317.24089463373343
318,500198.80942408525,8724296.067660693,317.18526020243223
319,500198.8291020716,8724296.079024142,317.12962577113115
320,500198.8672755724,8724296.111745508,317.0800656997984
321,500198.92306767637,8724296.16476801,317.03629793150196
322,500198.9685523287,8724296.205954453,316.98927755655177
323,500199.02195157856,8724296.256248202,316.94492214727717
324,500199.0854816475,8724296.318298157,316.90405283804114
325,500199.1493370377,8724296.380718896,316.8633783308287
326,500199.3032235784,8724296.547121845,316.85292398539565
327,500199.4434048089,8724296.697758313,316.83822774347504
328,500199.60180130054,8724296.86951007,316.8300167455691
329,500199.76910146896,8724297.051590636,316.825188722584
330,500199.92659604567,8724297.22245393,316.81742799059225
331,500200.0856302065,8724297.39511885,316.81060452013276
332,500200.2492036893,8724297.573168544,316.8056872722964
333,500200.40538475633,8724297.742695447,316.79866126364374
334,500200.5572348452,8724297.90735574,316.7904941471117
335,500200.64598823,8724297.98950424,316.7630724961254
336,500200.76785138313,8724297.994580412,316.766914085656
337,500200.8842837827,8724297.995943649,316.76882586361467
338,500200.9988897188,8724297.996058157,316.77008860996943
339,500201.1134956548,8724297.996172665,316.7713513563242
340,500201.2281015908,8724297.99628717,316.772614102679
341,500201.34270752687,8724297.996401679,316.7738768490337
342,500201.4573134629,8724297.996516187,316.77513959538845
343,500201.5719193989,8724297.996630693,316.7764023417432
344,500201.68652533495,8724297.9967452,316.77766508809805
345,500201.8009613844,8724297.996681167,316.77888813966433
346,500201.9141471038,8724297.995303096,316.77981904602314
347,500202.02733282326,8724297.993925028,316.78074995238205
348,500202.14051854284,8724297.992546959,316.78168085874097
349,500202.2537042623,8724297.99116889,316.78261176509983
