x	y	z
500167.2457370409	8724267.053878747	328.94732502876855
500169.9378419904	8724267.497544114	327.8879696574488
500163.41948270425	8724276.149066973	329.6413755369628
500165.10887578496	8724258.140700152	331.24775752574067
500162.9887734146	8724257.47288594	332.27132820679554
nan	nan	nan
500168.0594738381	8724264.285197878	328.650026103743
500167.8742184398	8724270.284992682	328.2287675811317
500184.99019661575	8724290.893285371	323.23503026521956
500165.3377878921	8724258.836401835	330.88689928424543
500157.3995842814	8724278.252885368	332.26155110513884
500188.9097034155	8724300.600560091	319.8498032003697
500189.58987887495	8724299.902179731	319.91278666816504
500182.125821543	8724293.587768488	323.35064143476995
500160.23222098587	8724274.503646683	332.5831870883087
nan	nan	nan
500177.77019811183	8724276.77430091	327.1831555747674
500162.57959564915	8724265.398657989	332.05004688281207
nan	nan	nan
500186.57005848887	8724288.814575432	323.02318838179644
500188.13371066615	8724300.9835144	320.41788019883137
500161.53358355974	8724271.047202324	332.27846757639855
500175.9047138677	8724277.998098517	327.3662342650892
500190.38229530153	8724295.71952056	321.08629972415577
500186.2038784997	8724295.188132972	322.05087863981396
nan	nan	nan
nan	nan	nan
500192.0899884647	8724286.895373693	322.0020366052108
500185.69664147554	8724296.777087096	321.9350187189385
500178.9354532756	8724291.213849818	325.0995003619704
500177.24218374025	8724278.042058999	326.87615774316794
500189.04874512117	8724300.014170622	320.6937221596697
500189.27824566455	8724286.682652092	322.39017301924287
500161.0829952647	8724274.301000182	332.39379945146436
500178.61153096566	8724287.565130359	325.4733879366029
500176.59030344157	8724283.15238176	326.43702914353764
500186.56610565283	8724301.151785288	321.07004340846504
500175.63907103176	8724287.304006536	326.11542273146074
500180.4975540916	8724294.84394807	323.6816839782809
500186.8101425591	8724290.078887075	322.69190870010146
500161.2600908582	8724252.32066568	333.40661634600445
500187.1103328863	8724300.412446927	320.698568070454
500182.84875383327	8724292.25237881	323.36308379702666
nan	nan	nan
500169.185895532	8724262.729709852	328.47298627785324
500163.86672174506	8724270.53678071	331.3654212456183
500160.41474807437	8724254.412459327	333.42717278486987
500158.30586097686	8724255.011543365	334.24448006967606
500160.91149069765	8724256.487606565	333.13932871977704
500157.83163230267	8724252.78538333	334.45058166704723
500157.99345831125	8724252.13568602	334.34819502099293
500182.39388972893	8724281.54658747	325.1603844016884
500183.8667392595	8724285.835553681	324.4120609700815
500175.01627411373	8724283.712527208	326.601631656748
500178.0658669202	8724283.618877107	326.07202425760073
500183.9667466369	8724289.542253844	323.7833722211253
500154.0568174869	8724258.732033312	335.3409048039436
500185.31889586744	8724290.572915807	323.1839249982442
500158.48439181433	8724254.789455794	334.14292182110813
500176.39534337254	8724277.455791099	327.37457621420015
500182.9098512454	8724282.823003365	324.87539892419034
500187.65163719817	8724300.357556172	320.5732044720952
500189.12556268234	8724300.293235557	320.4590910519737
500161.90934368357	8724265.515237128	332.423307650281
500154.590047215	8724250.351514434	334.9981769772357
500167.0624015121	8724271.295765243	328.0470156117946
500179.0453812922	8724291.104950547	324.95487048854864
nan	nan	nan
nan	nan	nan
500187.4618845732	8724301.162755378	320.46118180076013
500161.525364337	8724270.681800315	332.2760141094901
500168.4393397941	8724260.097845756	328.76313478876597
500185.4055326488	8724280.70572405	324.4124581668112
500173.1493512276	8724281.365982354	327.40873429155965
500159.59703695285	8724264.506484292	333.65876266649724
nan	nan	nan
nan	nan	nan
500176.2185459838	8724290.957636466	325.8047288682048
500150.1866293125	8724251.725796308	335.5941253394222
500166.7743031362	8724264.688495656	329.2549114541643
500167.1173153502	8724259.099423453	330.172750099939
nan	nan	nan
500184.4750131864	8724280.100864166	324.6767744841004
500183.1308966845	8724289.620379288	324.1399188090063
500188.9661836927	8724288.85356283	322.39643001782804
500135.24635803245	8724251.487125885	337.4161004573183
500183.33618090855	8724288.524214469	324.11303013049235
500166.78118783905	8724268.08290988	328.7759275384726
nan	nan	nan
nan	nan	nan
500190.7493151341	8724292.398749	321.66933563720465
nan	nan	nan
nan	nan	nan
500168.2274970183	8724266.890320601	328.17099865699873
500159.32071374496	8724265.355675817	333.6659489989804
nan	nan	nan
500183.5628526462	8724276.492368465	325.81526341499244
nan	nan	nan
500160.55386972113	8724256.502775995	333.2401328434223
500164.5778311195	8724266.581830569	330.51433259917513
500167.42415386904	8724262.10939836	329.2258870064722
500163.1677734327	8724261.059331471	331.3656918394604
500167.967478191	8724276.320817262	327.6635188006537
nan	nan	nan
500185.234803545	8724278.506969135	324.67755527882565
nan	nan	nan
500183.34792180883	8724288.442813339	324.1107304292136
500170.3423133963	8724285.787764292	327.3133165270072
500186.7196889979	8724291.050774444	322.66039090713576
500163.0741056871	8724269.91262921	331.5389847709036
500182.4658895606	8724286.048575385	324.5204999987588
500175.9634974754	8724282.568896975	326.54165733530095
500179.37075353914	8724278.469403103	326.53301326799937
500164.90447698685	8724262.506359784	330.37555976649253
500149.2132770072	8724272.657898579	333.87109310834774
nan	nan	nan
nan	nan	nan
500165.69597847335	8724257.636168767	331.0598667996381
500188.8808229574	8724296.105040941	321.430269910124
500146.9855057122	8724269.417745959	334.82538382912264
500162.1577763078	8724267.386979397	331.8832771916283
500165.8420643107	8724264.996377958	329.7842501159613
500183.63497145975	8724286.717529751	324.354929250366
500181.2178605214	8724289.105126118	324.68253558436686
500191.1431552287	8724297.128897293	320.1740638427244
